Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,270.171032,1845.239705,3.1917,4.2857,1.242521,1.647059
11,273.610037,2390.518776,3.5163,4.8571,1.325272,1.888889
12,162.207568,958.610187,3.0595,3.5000,1.195159,1.400000
13,108.180016,731.949716,3.4089,3.8571,1.231742,1.380952
14,8520.517828,56561.592049,3.4552,4.3333,1.281385,1.736842
15,493.213468,1619.288856,3.6667,4.1429,1.297056,1.526316
16,369.386095,1452.884733,3.6000,3.8750,1.293589,1.428571
