Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,AvgRatio,MaxRatio
10,8.518412,46.525981,1.8418,2.7713,1.157647,1.313390
11,25.215408,104.294252,1.8734,2.6576,1.251842,1.680091
12,1702.842947,11831.382128,1.9874,2.9295,1.159732,1.345978
13,14.519249,133.357571,2.0588,3.1073,1.336236,1.784461
14,11.285647,45.812740,1.8297,2.3753,1.357166,2.297747
15,2578.814745,14546.472022,1.9097,3.1686,1.376148,2.032323
16,223.922808,2107.476180,1.9310,2.6516,1.426391,1.810031
