Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
167,0.089100,0.143738,3.70,4,10
168,0.089596,0.122566,3.70,4,10
169,0.087068,0.147466,3.70,4,10
170,0.100814,0.135833,3.70,4,10
171,0.071569,0.143841,3.80,4,10
172,0.095436,0.138866,3.60,4,10
173,0.094613,0.141563,3.50,4,10
174,0.076372,0.128253,3.90,4,10
175,0.119085,0.210711,3.70,4,10
176,0.119536,0.201457,3.90,4,10
177,0.127895,0.207035,3.60,4,10
178,0.150320,0.213469,3.90,4,10
179,0.128896,0.204804,3.70,4,10
180,0.112619,0.186633,3.90,4,10
181,0.136120,0.256988,3.70,4,10
182,0.125045,0.169728,3.70,4,10
183,0.136150,0.240634,3.80,4,10
184,0.112934,0.220229,3.90,4,10
185,0.118743,0.222252,3.80,4,10
186,0.165045,0.266600,3.40,4,10
187,0.157654,0.236978,3.70,4,10
188,0.145433,0.223352,3.90,4,10
189,0.116289,0.209959,3.90,4,10
190,0.136364,0.192021,3.80,4,10
191,0.156657,0.240730,3.60,4,10
192,0.145948,0.211612,3.80,4,10
193,0.159745,0.219470,3.50,4,10
194,0.105605,0.167729,3.80,4,10
195,0.150232,0.218759,3.60,4,10
196,0.129094,0.278839,3.80,4,10
197,0.142182,0.252570,3.80,4,10
198,0.161763,0.232871,3.70,4,10
199,0.111103,0.176145,4.00,4,10
200,0.183898,0.304099,3.80,4,10
201,0.190554,0.286915,3.70,4,10
202,0.183911,0.277809,3.50,4,10
203,0.152378,0.233839,4.00,4,10
204,0.145498,0.247019,4.00,4,10
205,0.174495,0.287877,3.70,4,10
206,0.182347,0.289166,3.50,4,10
207,0.197142,0.281268,3.90,4,10
208,0.167368,0.306435,3.50,4,10
209,0.182308,0.309004,3.60,4,10
210,0.217910,0.317614,3.60,4,10
211,0.208914,0.292501,3.30,4,10
212,0.202712,0.272342,3.60,4,10
213,0.170620,0.253745,3.90,4,10
214,0.168347,0.310478,3.70,4,10
215,0.225043,0.306854,3.50,4,10
216,0.181488,0.317858,3.70,4,10
217,0.203111,0.329738,3.40,4,10
218,0.208986,0.305642,3.80,4,10
219,0.209022,0.311457,3.40,4,10
220,0.156158,0.300811,3.60,4,10
221,0.110302,0.181855,3.80,4,10
222,0.137926,0.235019,3.60,4,10
223,0.170568,0.261213,3.50,4,10
224,0.178763,0.272426,3.90,4,10
225,0.216351,0.378454,3.80,4,10
226,0.268684,0.364751,3.50,4,10
227,0.229864,0.336158,3.80,4,10
228,0.228681,0.357033,3.60,4,10
229,0.169130,0.326683,3.90,4,10
230,0.177268,0.299570,3.70,4,10
231,0.249169,0.387223,3.50,4,10
232,0.258555,0.398963,3.60,4,10
233,0.202244,0.248183,3.50,4,10
234,0.196371,0.318000,3.70,4,10
235,0.147806,0.311349,3.90,4,10
236,0.208903,0.283604,3.30,4,10
237,0.138204,0.229763,3.90,4,10
238,0.163351,0.280004,3.60,4,10
239,0.191751,0.286038,3.50,4,10
240,0.162902,0.267412,3.70,4,10
241,0.155879,0.258809,3.50,4,10
242,0.149123,0.245071,3.80,4,10
243,0.124153,0.266900,3.90,4,10
244,0.152288,0.268398,3.70,4,10
245,0.242050,0.421290,3.70,4,10
246,0.243077,0.379137,3.90,4,10
247,0.250881,0.347422,3.80,4,10
248,0.214454,0.326191,3.50,4,10
249,0.220606,0.405847,3.80,4,10
250,0.195326,0.339757,3.90,4,10
251,0.267909,0.435248,3.60,4,10
252,0.299326,0.396224,3.70,4,10
253,0.299190,0.442621,3.50,4,10
254,0.260895,0.408865,3.70,4,10
255,0.255733,0.450367,3.60,4,10
256,0.263357,0.453740,3.70,4,10
257,0.261886,0.407551,3.90,4,10
258,0.283324,0.389757,3.80,4,10
259,0.235389,0.402849,3.80,4,10
260,0.346816,0.450158,3.50,4,10
261,0.252176,0.367515,4.00,4,10
262,0.207717,0.474541,3.80,4,10
263,0.222640,0.292796,3.60,4,10
264,0.228061,0.360645,3.80,4,10
265,0.202565,0.356277,3.60,4,10
266,0.215237,0.355783,3.70,4,10
267,0.211432,0.356943,3.70,4,10
268,0.218973,0.330652,3.60,4,10
269,0.220801,0.367264,3.80,4,10
270,0.198819,0.312950,3.70,4,10
271,0.239060,0.337866,3.80,4,10
272,0.235431,0.352169,3.60,4,10
273,0.202676,0.369007,3.70,4,10
274,0.183240,0.320898,3.90,4,10
275,0.235833,0.382356,3.50,4,10
276,0.227578,0.370288,3.70,4,10
277,0.164968,0.263852,4.00,4,10
278,0.210199,0.358918,3.40,4,10
279,0.300758,0.483616,3.80,4,10
280,0.261397,0.374907,3.60,4,10
281,0.239467,0.349998,3.80,4,10
282,0.245659,0.359653,3.80,4,10
283,0.177949,0.328146,3.90,4,10
284,0.228300,0.372475,3.50,4,10
285,0.251115,0.377322,3.60,4,10
286,0.226829,0.370046,3.60,4,10
287,0.198717,0.317450,3.90,4,10
288,0.271103,0.513511,3.70,4,10
289,0.320681,0.458808,3.80,4,10
290,0.363316,0.570026,3.70,4,10
291,0.301220,0.463691,3.90,4,10
292,0.315018,0.471003,3.80,4,10
293,0.354786,0.583869,3.60,4,10
294,0.273926,0.473816,4.00,4,10
295,0.272527,0.542552,3.80,4,10
296,0.359933,0.516659,4.00,4,10
297,0.436934,0.586965,3.50,4,10
298,0.330788,0.570258,3.80,4,10
299,0.280930,0.530875,3.80,4,10
300,0.337928,0.602597,3.70,4,10
301,0.305128,0.593510,3.90,4,10
302,0.308629,0.617413,3.80,4,10
303,0.410018,0.558688,3.80,4,10
304,0.377412,0.573814,3.80,4,10
305,0.366308,0.595463,3.80,4,10
306,0.252029,0.611867,3.90,4,10
307,0.397561,0.620510,3.70,4,10
308,0.460049,0.625442,3.70,4,10
309,0.390607,0.647884,3.70,4,10
310,0.384829,0.562212,3.90,4,10
311,0.325946,0.545256,3.80,4,10
312,0.324501,0.571171,3.80,4,10
313,0.374404,0.640303,3.60,4,10
314,0.329581,0.575855,3.80,4,10
315,0.377888,0.617347,3.90,4,10
316,0.472230,0.666139,3.50,4,10
317,0.378457,0.653949,3.60,4,10
318,0.498194,0.674880,3.40,4,10
319,0.445297,0.629871,3.80,4,10
320,0.386260,0.688931,3.70,4,10
321,0.298750,0.486283,3.90,4,10
322,0.397590,0.545595,3.90,4,10
323,0.462946,0.660721,3.60,4,10
324,0.431976,0.693229,3.60,4,10
325,0.405594,0.686625,3.60,4,10
326,0.337170,0.642934,3.90,4,10
327,0.405134,0.665435,3.60,4,10
328,0.518094,0.614889,3.60,4,10
329,0.465448,0.678020,3.60,4,10
330,0.446639,0.645429,3.80,4,10
331,0.388709,0.729285,3.70,4,10
332,0.393607,0.711504,3.70,4,10
333,0.418697,0.698577,3.70,4,10
334,0.367377,0.795552,3.80,4,10
335,0.288283,0.574582,3.70,4,10
336,0.245302,0.487321,3.80,4,10
337,0.308711,0.509928,3.80,4,10
338,0.296678,0.524674,3.80,4,10
339,0.385259,0.530949,3.70,4,10
340,0.366736,0.732966,3.80,4,10
341,0.388601,0.759875,3.90,4,10
342,0.362831,0.568819,3.60,4,10
343,0.397126,0.599194,3.80,4,10
344,0.397449,0.772171,3.90,4,10
345,0.525021,0.810361,3.70,4,10
346,0.426827,0.837254,3.80,4,10
347,0.384127,0.798774,3.60,4,10
348,0.233234,0.402348,4.00,4,10
349,0.438127,0.656571,3.80,4,10
350,0.421854,0.613242,3.60,4,10
351,0.441714,0.646286,3.70,4,10
352,0.414285,0.595920,3.60,4,10
353,0.362272,0.826290,3.90,4,10
354,0.448017,0.808759,3.70,4,10
355,0.333588,0.564532,4.00,4,10
356,0.352840,0.575772,3.90,4,10
357,0.397379,0.674228,3.50,4,10
358,0.351780,0.555980,3.90,4,10
359,0.350624,0.497972,4.00,4,10
360,0.351348,0.595185,3.80,4,10
361,0.338569,0.603699,3.80,4,10
362,0.405634,0.607192,3.60,4,10
363,0.441322,0.596540,3.70,4,10
364,0.373464,0.614750,3.90,4,10
365,0.328327,0.583905,3.80,4,10
366,0.415606,0.840778,4.00,4,10
367,0.639291,0.928951,3.80,4,10
368,0.452551,0.824855,3.90,4,10
369,0.396443,0.583021,3.80,4,10
370,0.258018,0.543414,3.90,4,10
371,0.404979,0.653017,3.60,4,10
372,0.389286,0.700953,3.70,4,10
373,0.434141,0.624955,3.80,4,10
374,0.342989,0.643355,3.90,4,10
375,0.413121,0.690362,3.80,4,10
376,0.548325,0.892061,3.90,4,10
377,0.451749,0.951328,3.80,4,10
378,0.452903,0.760012,3.80,4,10
379,0.343740,0.611588,3.60,4,10
380,0.436877,0.623950,3.60,4,10
381,0.378090,0.666342,3.80,4,10
382,0.472450,0.685870,3.50,4,10
383,0.339909,0.660836,3.90,4,10
384,0.346229,0.688674,3.80,4,10
385,0.462001,0.714458,3.80,4,10
386,0.562706,1.041117,3.80,4,10
387,0.521827,0.986569,3.70,4,10
388,0.502743,1.002602,3.90,4,10
389,0.689566,0.995638,3.80,4,10
390,0.495635,0.924127,3.90,4,10
391,0.720194,1.003994,3.50,4,10
