Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
875,0.267089,0.284449,9.00,9,10
876,0.307580,0.341784,9.10,10,10
877,0.337081,0.345639,9.00,9,10
878,0.349025,0.390375,9.00,9,10
879,0.337311,0.352277,9.00,9,10
880,0.339849,0.349640,9.10,10,10
881,0.335665,0.343304,9.00,9,10
882,0.344613,0.384295,9.00,9,10
883,0.342599,0.372067,9.10,10,10
884,0.340664,0.356797,9.00,9,10
885,0.345503,0.371127,9.00,9,10
886,0.349363,0.377348,9.00,9,10
887,0.338714,0.345974,9.00,9,10
888,0.348247,0.384514,9.10,10,10
889,0.341187,0.351262,9.10,10,10
890,0.338112,0.342575,9.00,9,10
891,0.342456,0.374004,9.00,9,10
892,0.306952,0.344285,9.00,9,10
893,0.304735,0.328951,9.00,9,10
894,0.292129,0.332484,9.00,9,10
895,0.286926,0.328527,9.00,9,10
896,0.350101,0.401348,9.00,9,10
897,0.348789,0.384184,9.00,9,10
898,0.350331,0.374850,9.10,10,10
899,0.353807,0.383165,9.00,9,10
900,0.341218,0.350593,9.10,10,10
901,0.345290,0.362732,9.10,10,10
902,0.340503,0.350924,9.00,9,10
903,0.351614,0.375655,9.00,9,10
904,0.350804,0.381607,9.10,10,10
905,0.345136,0.357796,9.00,9,10
906,0.343669,0.354327,9.00,9,10
907,0.349784,0.378481,9.00,9,10
908,0.348303,0.355733,9.00,9,10
909,0.348732,0.383862,9.00,9,10
910,0.356395,0.375792,9.00,9,10
911,0.356343,0.376297,9.10,10,10
912,0.328751,0.392087,9.10,10,10
913,0.304652,0.351054,9.10,10,10
914,0.290778,0.324731,9.00,9,10
915,0.301114,0.338868,9.00,9,10
916,0.349830,0.385190,9.10,10,10
917,0.354202,0.404365,9.00,9,10
918,0.348144,0.358199,9.00,9,10
919,0.358863,0.390461,9.00,9,10
920,0.362833,0.382688,9.00,9,10
921,0.364162,0.405738,9.10,10,10
922,0.364290,0.402553,9.10,10,10
923,0.368264,0.393918,9.00,9,10
924,0.375007,0.409646,9.00,9,10
925,0.369523,0.418319,9.00,9,10
926,0.362864,0.401781,9.00,9,10
927,0.357294,0.367087,9.00,9,10
928,0.358427,0.389211,9.10,10,10
929,0.361521,0.379243,9.00,9,10
930,0.311610,0.348260,9.00,9,10
931,0.299620,0.321247,9.10,10,10
932,0.289186,0.340917,9.00,9,10
933,0.317937,0.356872,9.20,10,10
934,0.362298,0.381032,9.00,9,10
935,0.350491,0.363926,9.00,9,10
936,0.362506,0.391717,9.20,10,10
937,0.373109,0.399400,9.00,9,10
938,0.359031,0.374392,9.00,9,10
939,0.365186,0.399268,9.00,9,10
940,0.366321,0.405686,9.00,9,10
941,0.363382,0.395051,9.10,10,10
942,0.364942,0.381089,9.00,9,10
943,0.359800,0.379055,9.30,10,10
944,0.368785,0.402046,9.00,9,10
945,0.362976,0.386889,9.10,10,10
946,0.367716,0.375861,9.00,9,10
947,0.372072,0.397367,9.10,10,10
948,0.361348,0.374990,9.00,9,10
949,0.342063,0.398289,9.10,10,10
950,0.315355,0.353623,9.20,10,10
951,0.300089,0.342222,9.20,10,10
952,0.306639,0.380173,9.10,10,10
953,0.365315,0.401736,9.20,10,10
954,0.344749,0.381991,9.00,9,10
955,0.356375,0.388985,9.10,10,10
956,0.336429,0.369327,9.00,9,10
957,0.363885,0.380205,9.10,10,10
958,0.373124,0.405906,9.00,9,10
959,0.381022,0.405537,9.10,10,10
960,0.371167,0.404325,9.10,10,10
961,0.374846,0.410465,9.20,10,10
962,0.383270,0.401123,9.10,10,10
963,0.273505,0.366128,9.10,10,10
964,0.291322,0.358869,9.10,10,10
965,0.364469,0.395681,9.20,10,10
966,0.261353,0.273614,9.20,10,10
967,0.274380,0.366304,9.10,10,10
968,0.255076,0.270209,9.00,9,10
969,0.245769,0.249975,9.10,10,10
970,0.283457,0.372146,9.10,10,10
971,0.345942,0.399393,9.20,10,10
972,0.366496,0.386845,9.00,9,10
973,0.361407,0.378891,9.20,10,10
974,0.362815,0.389680,9.20,10,10
975,0.366727,0.387638,9.20,10,10
976,0.357775,0.371366,9.20,10,10
977,0.361654,0.373296,9.10,10,10
978,0.358589,0.365561,9.00,9,10
979,0.361202,0.377005,9.10,10,10
980,0.373931,0.406414,9.00,9,10
981,0.394551,0.425595,9.10,10,10
982,0.382966,0.438846,9.40,10,10
983,0.349173,0.397075,9.20,10,10
984,0.361496,0.392073,9.20,10,10
985,0.354801,0.415913,9.20,10,10
986,0.369957,0.383014,9.10,10,10
987,0.371911,0.384566,9.10,10,10
988,0.374376,0.400891,9.30,10,10
989,0.388221,0.411914,9.20,10,10
990,0.396382,0.501127,9.50,10,10
991,0.364710,0.402727,9.10,10,10
992,0.271441,0.291982,9.40,10,10
993,0.282866,0.346539,9.20,10,10
994,0.272869,0.296581,9.20,10,10
995,0.269530,0.300178,9.20,10,10
996,0.271039,0.298621,9.10,10,10
997,0.263033,0.302779,9.20,10,10
998,0.263861,0.289361,9.10,10,10
999,0.272165,0.297744,9.40,10,10
1000,0.262918,0.273126,9.00,9,10
