Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
688,0.274636,0.297733,9.00,9,10
689,0.278458,0.292605,9.00,9,10
690,0.259802,0.286914,9.00,9,10
691,0.273032,0.289945,8.90,9,10
692,0.267594,0.293877,9.00,9,10
693,0.256150,0.295121,9.00,9,10
694,0.259076,0.316390,9.00,9,10
695,0.276846,0.294086,9.00,9,10
696,0.273117,0.292767,9.00,9,10
697,0.281604,0.303267,9.00,9,10
698,0.272792,0.293249,9.00,9,10
699,0.288087,0.303050,9.00,9,10
700,0.270885,0.309166,9.00,9,10
701,0.247975,0.294603,9.00,9,10
702,0.239902,0.301431,9.00,9,10
703,0.222204,0.285547,9.00,9,10
704,0.201165,0.228296,9.00,9,10
705,0.240357,0.300887,9.00,9,10
706,0.273241,0.288361,9.00,9,10
707,0.285753,0.303003,9.00,9,10
708,0.274477,0.294401,8.90,9,10
709,0.192779,0.207008,9.00,9,10
710,0.200756,0.213031,9.00,9,10
711,0.197877,0.232302,9.00,9,10
712,0.202011,0.218573,9.00,9,10
713,0.202460,0.220623,9.00,9,10
714,0.228065,0.257467,9.00,9,10
715,0.240849,0.263480,9.00,9,10
716,0.248434,0.284752,9.00,9,10
717,0.266464,0.296749,9.00,9,10
718,0.277799,0.301687,9.00,9,10
719,0.273066,0.304657,9.00,9,10
720,0.221218,0.262196,9.00,9,10
721,0.247055,0.263405,9.00,9,10
722,0.207312,0.249417,9.00,9,10
723,0.204406,0.216227,9.00,9,10
724,0.205278,0.227673,9.00,9,10
725,0.203557,0.221479,9.00,9,10
726,0.297668,0.342041,9.00,9,10
727,0.294864,0.316093,9.00,9,10
728,0.292399,0.315511,9.00,9,10
729,0.280992,0.319790,9.00,9,10
730,0.205579,0.239731,9.00,9,10
731,0.209080,0.241861,9.00,9,10
732,0.205291,0.217303,9.00,9,10
733,0.254654,0.301636,9.00,9,10
734,0.297879,0.310536,9.00,9,10
735,0.273756,0.324074,9.00,9,10
736,0.228778,0.349885,9.00,9,10
737,0.235633,0.313068,9.00,9,10
738,0.215188,0.227063,9.00,9,10
739,0.229469,0.251454,9.00,9,10
740,0.228903,0.245998,9.00,9,10
741,0.233301,0.240178,9.00,9,10
742,0.236165,0.249224,9.00,9,10
743,0.218546,0.243048,9.00,9,10
